StopID;StopText
2;Venediger Au
3;Messe Prater
4;Perspektivstraße
5;Börse
7;Praterstern, Lassallestraße
8;Hauptbahnhof S U
9;Julius-Raab-Platz
10;Stubentor U, Dr.-Karl-Lueger-Platz
11;Weihburggasse
12;Schwarzenbergplatz
13;Oper, Karlsplatz U
14;Burgring
15;Ring, Volkstheater U
16;Parlament
17;Rathausplatz, Burgtheater
18;Schottentor U
19;Börse
20;Schottenring U
21;Salztorbrücke
22;Schwedenplatz U
23;Julius-Raab-Platz
26;Praterstern S U
27;Venediger Au
28;Perspektivstraße
29;Messe Prater
30;Elderschplatz
31;Bösendorferstraße, Karlsplatz U
33;Ring, Volkstheater U
36;Westbahnhof S U
37;Schemmerlstraße
39;Hauptbahnhof S U
40;Karl-Popper-Straße
41;Julius-Raab-Platz
42;Schwedenplatz U
43;Salztorbrücke
44;Schottenring U
45;Börse
46;Schottentor U
47;Rathausplatz, Burgtheater
48;Parlament
49;Ring, Volkstheater U
50;Burgring
51;Oper, Karlsplatz U
52;Schwarzenbergplatz
53;Weihburggasse
54;Stubentor U, Dr.-Karl-Lueger-Platz
55;Julius-Raab-Platz
56;Hoher Markt
57;Hauptbahnhof Ost
58;Hauptbahnhof Ost
59;Schüttaustraße
60;Schüttaustraße
61;Gänsehäufel
62;Schüttauplatz
63;Schödlbergergasse
64;Goethehof
65;Kaisermühlen VIC U
66;Kaisermühlen VIC U
67;Seidelbastgasse
68;Stavangergasse
69;Haßlwanderweg
70;Neue Donau Mitte
71;Alfred-Adler-Straße
72;Kaisermühlen, VIC U
73;Goethehof
74;Schödlbergergasse
75;Schüttauplatz
76;Mauthausgasse
77;Haus des Meeres
78;Siebenhirten
79;Schottenring U
81;Schwarzenbergplatz
88;Beethovengang
89;Habsburgergasse
90;Beethovengang
91;Nußdorf S
92;Sickenberggasse
93;Grinzinger Straße
94;Halteraugasse
95;Heiligenstadt, 12.-Februar-Platz
96;Gunoldstraße
97;Rampengasse
98;Spittelau S U
99;Liechtenwerder Platz
100;Augasse
101;Franz-Josefs-Bahnhof S
102;Bauernfeldplatz
103;Schlickgasse
104;Augasse  (Schleife)
105;Schwarzenbergplatz
106;Gußhausstraße
107;Plößlgasse
108;Schloss Belvedere
109;Quartier Belvedere S
111;Quartier Belvedere S
112;Schloss Belvedere
113;Plößlgasse
114;Gußhausstraße
115;Seegasse
116;Schlickgasse
117;Bauernfeldplatz
118;Franz-Josefs-Bahnhof S
119;Augasse
120;Liechtenwerder Platz
121;Spittelau S U
122;Rampengasse
123;Gunoldstraße
124;Heiligenstadt, 12.-Februar-Platz
125;Halteraugasse
126;Grinzinger Straße
127;Sickenberggasse
128;Nußdorf S
130;Seegasse
131;Eckpergasse
132;Hintere Zollamtsstraße
133;Gredlerstraße
134;Schwedenplatz U
135;Althanstraße
136;Althanstraße
137;Hietzing U
138;Cumberlandstraße
139;Ameisgasse
140;Leyserstraße
141;Herbeckstraße
142;Alsegger Straße
143;Gersthof S
144;Weinhauser Gasse
145;Aumannplatz
146;Martinstraße
147;Währinger Straße, Volksoper U
148;Spitalgasse
149;Sensengasse
150;Schwarzspanierstraße
151;Montleartstraße
152;Burgersteingasse
153;Breitenseer Straße, Braillegasse
154;Breitenseer Straße, Braillegasse
155;Burgersteingasse
156;Montleartstraße
157;Leyserstraße
158;Ameisgasse
159;Cumberlandstraße
160;Schöffelgasse
161;Landstraße, Wien Mitte S U
162;Marxergasse
163;Hintere Zollamtsstraße
164;Radetzkyplatz
165;Hetzgasse
166;Löwengasse
167;Wittelsbachstraße
168;Prater Hauptallee
169;Prater Hauptallee
170;Wittelsbachstraße
171;Löwengasse
172;Hetzgasse
173;Radetzkyplatz
174;Hintere Zollamtsstraße
175;Marxergasse
176;Landstraße, Wien Mitte S U
177;Kutschkergasse
178;Ameisbachzeile, Hanuschkrankenhaus
179;Lebingergasse
180;Flötzersteigbrücke
181;Matschgasse
182;Ottakringer Bad
183;Matschgasse
184;Flötzersteigbrücke
185;Lebingergasse
186;Ameisbachzeile, Hanuschkrankenhaus
187;Kutschkergasse
188;Spitalgasse
189;Währinger Straße, Volksoper U
190;Martinstraße
191;Aumannplatz
192;Weinhauser Gasse
193;Gersthof S
194;Alsegger Straße
195;Herbeckstraße
196;Guneschgasse
197;Döblinger Hauptstraße, Gatterburggasse
198;Pokornygasse
199;Barawitzkagasse
200;Perntergasse
201;Hohe Warte
202;Perntergasse
203;Barawitzkagasse
204;Pokornygasse
205;Döblinger Hauptstraße, Gatterburggasse
206;Guneschgasse
207;Glatzgasse
208;Nußdorfer Straße U
209;Canisiusgasse
210;Nußdorfer Straße / Alserbachstraße
211;Spitalgasse
212;Döblinger Bad
213;Nußdorfer Straße / Alserbachstraße
214;Canisiusgasse
215;Nußdorfer Straße U
216;Glatzgasse
217;Lange Gasse
218;Skodagasse
219;Brünnlbadgasse
220;Alser Straße U
221;Palffygasse
222;Elterleinplatz
223;Rosensteingasse
224;Hernals, Wattgasse
225;Bahnhof Hernals
229;Bhf.Hls. - Bedarfshaltes
230;Hernals, Wattgasse
231;Rosensteingasse
232;Elterleinplatz
233;Palffygasse
234;Alser Straße U
235;Brünnlbadgasse
236;Skodagasse
237;Lange Gasse
238;Landesgerichtsstraße
239;Hainburger Straße
240;Hohe Warte
241;Maroltingergasse
242;Maroltingergasse
243;Weinheimergasse
244;Redtenbachergasse
245;Familienplatz
246;Johann-Nepomuk-Berger-Platz
247;Haberlgasse
248;Brunnengasse
249;Josefstädter Straße U
250;Albertgasse
251;Josefstädter Str. / Lederergasse
252;Rathaus U
253;Landstraße S U
254;Hintzerstraße
256;Apostelgasse
257;Kardinal-Nagl-Platz U
258;Lechnerstraße
259;Landstraße S U
262;Lechnerstraße
263;Kardinal-Nagl-Platz U
264;Rabengasse
265;Klimschgasse
266;Barichgasse
267;Hintzerstraße
268;Stubentor U
269;Rathaus U
270;Josefstädter Str. / Lederergasse
271;Albertgasse
272;Blindengasse
273;Josefstädter Straße U
274;Brunnengasse
275;Neulerchenfelder Str. / Haberlgasse
276;Johann-Nepomuk-Berger-Platz
277;Familienplatz
278;Redtenbachergasse
279;Johannes-Krawarik-Gasse
280;Kleistgasse
281;Barichgasse
282;Eslarngasse
283;Rabengasse
284;St. Marx S
286;St. Marx S, Leberstraße
287;Viehmarktgasse
288;St. Marx S
289;Grasbergergasse
290;Hofmannsthalgasse
291;Stubentor U
292;Petrusgasse
293;St. Marx S
294;Rabengasse
295;Eslarngasse
296;Rochusgasse U
